id,solution_label,file_name,folder_name,date,Ag 328.068,Ag 338.289,Al 308.215,Al 396.152,As 188.980,As 234.984,B 249.678,B 249.772,Ba 455.403,Ba 493.408,Bi 223.061,Bi 306.771,Ca 317.933,Ca 396.847,Ca 422.673,Cd 214.439,Cd 226.502,Ce 418.659,Ce 446.021,Co 228.615,Co 230.786,Co 231.160,Cr 267.716,Cr 283.563,Cu 324.754,Cu 327.395,Fe 238.204,Fe 259.940,Ga 287.423,Ga 417.204,In 410.176,In 451.131,K 766.491,K 769.897,La 333.749,La 408.671,Li 610.365,Li 670.783,Mg 279.553,Mg 280.270,Mg 285.213,Mn 257.610,Mn 259.372,Mo 281.615,Mo 284.824,Na 568.821,Na 588.995,Na 589.592,Ni 230.299,Ni 231.604,P 213.618,P 214.914,Pb 220.353,Pb 405.781,S 180.669,S 181.972,Sb 206.834,Sb 217.582,Sc 357.253,Sc 361.383,Sn 189.925,Sn 283.998,Sr 407.771,Sr 421.552,Th 283.730,Th 335.123,Th 401.913,Ti 334.941,Ti 337.280,Tl 276.789,Tl 351.923,U 385.957,U 409.013,V 309.310,V 311.837,Y 360.074,Y 371.029,Y 377.433,Yb 328.937,Yb 369.419,Zn 202.548,Zn 213.857,Au 242.794_2,Au 242.794_1,Si 250.690,Si 251.432,Si 251.611,Si 288.158,Cu 213.598,Cu 224.700,Nb 309.417,Nb 313.078,Ta 263.558,Ta 268.517,W 207.912,W 209.475,Mo 202.032,Mo 204.598,Se 203.985,Se 196.026,Au 267.594_2,Pd 340.458,Pt 214.424,Au 267.594_1,Pd 360.955,Pt 306.471,Pt 299.796,Si 288.158_2,Si 288.158_1,Ni 221.648,Zn 213.857_1,Zn 334.502_1,Cr 357.868,Zn 213.857_2,Co 238.892,Cd 228.802,Al 394.401,Sb 231.146,Tl 190.794,Zn 334.502_2,Fe 239.563,Mg 279.800,P 178.222,Pb 280.199,Ga 294.363,In 230.606,V 292.401,Sn 242.950,Sr 216.596,Mn 294.921,Ti 336.122,Li 460.289,Bi 222.821,Zn 334.502
11,Blank,1404-01-08 2814 2817.csv,oes 4ac,1404/01/08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CRM-BLANK Z,1404-01-08 2814 2817.csv,oes 4ac,1404/01/08,8.94095,10.0209,577.799,150.052,48.6119,32.7305,41.1685,42.257,-3.25954,-3.36251,108.24,126.476,64.8967,185.008,156.981,-4.93901,-6.54953,5.13608,3.24496,-5.46983,-1.34717,0.63684,8.24603,7.38683,0.665813,-2.32703,-784.446,250.676,24.2444,8.42652,33.2307,181.126,51.0268,103.027,3.08511,6.31593,46.8422,1.8503,-2215.4,53.528,51.6696,2.25887,3.69484,29.0744,33.769,928.423,250.987,364.497,-3.43173,-7.15129,-2.2866,27.4092,22.3989,-14.4242,309.088,391.383,-20.8682,-1.4604,-0.0969553,0.378741,-6.11867,20.6635,-6.01844,-3.03905,1.16436,2.76814,-2.78799,10.6408,16.0413,-11.0141,-3.18513,-3.94573,-0.742526,2.11357,4.3003,0.931942,0.698668,0.447169,0.450819,0.65638,13.1286,-5.73009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BLANK R,1404-01-08 2814 2817.csv,oes 4ac,1404/01/08,5.03675,11.1219,1514.49,1207.04,41.2738,22.2173,22.3169,24.988,22.9347,22.783,111.53,135.009,225.214,343.79,318.57,-4.17147,-6.41287,6.82722,6.00658,-7.41072,-1.96828,-0.244508,5.00414,4.97644,46.8814,45.274,-23.7397,981.595,19.9789,7.44253,20.2142,177.082,464.363,132.929,3.6555,7.08143,48.2548,1.4852,-2099.84,134.324,126.028,7.77474,10.24,31.6781,35.3326,1127.29,596.305,653.796,-6.52567,-6.83562,-3.24385,14.4241,77.9163,94.3802,384.369,277.712,-12.3346,2.86476,0.4344,0.586976,1.60806,10.6991,-2.84094,-0.156219,0.432322,3.13838,-4.5275,53.4812,57.6884,80.542,-3.04161,0.611554,-21.4974,1.70008,5.05617,1.19526,0.835992,0.713702,0.368986,0.651298,6.43487,-10.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BLANK PARTSHIAL,1404-01-08 2814 2817.csv,oes 4ac,1404/01/08,42.3022,41.1131,336.481,162.903,7.71489,8.0479,6.59824,7.24716,-1.70034,-1.82157,46.1866,56.4739,102.956,151.137,135.95,-1.76707,-2.3854,6.96699,2.16701,-2.90516,-0.968021,2.12647,1.0233,0.783131,-1.37489,-2.25735,-340.96,76.5119,5.23578,11.7679,36.1189,62.4142,-1.55007,-378.665,1.10182,2.58871,18.8997,0.211705,-891.925,16.5565,16.1393,-1.95911,-1.43955,11.7341,12.9743,113.689,392.244,400.837,-4.32675,-1.97026,-1.78103,16.8557,24.28,33.6299,235.616,209.42,-3.04984,2.27241,-1.1078,0.168084,9.87841,2.01744,-2.14611,-0.94877,-0.750512,-2.9178,-1.00652,0.879394,3.1522,20.0182,-9.00119,3.83212,-1.77107,0.549801,2.20926,0.268435,0.248807,0.156561,0.157959,0.256118,2.71439,-3.81667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BLANK CRM (CUO),1404-01-08 2814 2817.csv,oes 4ac,1404/01/08,-0.69821,0.561795,269.144,92.8946,12.9244,13.2837,7.44692,7.55061,-2.09331,-2.13239,45.3441,51.2751,447.53,490.032,447.062,-1.42253,-2.59295,3.8379,1.96907,-2.74737,-0.255854,-0.205568,3.13555,2.88247,1.16838,0.596135,-245.362,163.082,6.31767,6.69211,29.4777,65.6452,47.4468,-274.203,2.06662,2.5201,18.846,0.363174,-828.423,62.7332,58.1281,-0.279577,0.436688,12.6063,14.2863,1591.2,1944.42,1700.56,-1.20181,-0.823378,32.6768,35.9883,16.1963,31.0388,1125190.0,1438000.0,-11.6964,-2.58072,-0.388438,0.193678,3.44261,9.26658,-0.00242171,1.21163,0.136751,1.03811,3.9487,1.07835,3.40528,36.595,0.429566,0.154123,-2.76295,0.914081,1.90685,0.333837,0.249558,0.150367,0.181352,0.200216,5.97089,-0.810214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BLNK NIT 2817,1404-01-08 2814 2817.csv,oes 4ac,1404/01/08,-0.515464,1.22559,324.398,159.988,27.9698,29.494,1.64561,2.78018,10.0442,9.99203,42.8039,52.3073,659.329,730.071,685.923,-2.16056,-2.60575,6.6581,1.07495,-1.52181,0.823468,1.39573,3.7575,3.54449,7.02707,5.84748,222.278,607.138,6.52516,6.87634,18.8439,60.0985,82.4114,-325.543,2.05324,2.4814,19.4992,0.27107,-871.089,22.465,21.1943,32.8717,34.8746,11.6204,12.9846,384.52,-17.291,52.4476,1.33475,-2.44971,-6.00173,11.2025,8.75872,6.65105,61.8459,69.0312,4.49881,2.98702,-1.18689,0.228968,7.79126,3.81329,-0.519714,0.623156,0.1783,-5.19143,1.59834,11.0025,12.9853,-9.06076,-1.30908,1.48397,1.32307,0.963153,2.34467,0.424779,0.388833,0.197736,0.191005,0.221557,4.02656,-2.92139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BLNK TIZ 2817,1404-01-08 2814 2817.csv,oes 4ac,1404/01/08,9.2078,10.0156,214.268,41.4088,20.5095,29.0084,6.10701,7.22595,-0.182105,-0.260772,45.255,60.2138,162.224,215.529,194.672,-2.05372,-2.61896,5.25308,3.07177,-2.72659,-0.695457,1.76172,0.111974,-0.239374,0.122161,-0.694782,-223.739,182.883,2.0356,5.24219,22.4862,58.7786,13.5483,-314.853,1.96978,3.67549,19.0466,-0.220566,-903.325,5.45039,5.53576,5.30166,5.70249,11.5251,12.1764,726.058,336.037,351.342,-3.26261,-6.06576,-5.95549,-0.626913,3.6903,7.39032,91.1323,49.597,-6.12297,5.74082,-1.46133,0.180921,7.65136,1.49698,-2.17913,-0.996687,0.517111,-3.66665,-3.22462,1.1112,3.44836,23.1857,-9.27757,1.14461,-3.48715,0.963558,1.94746,0.354601,0.303613,0.207941,0.143483,0.265572,0.56157,-5.49558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Blank,1404-01-08 fire 2760(1481-1660).csv,oes 4ac,1404/01/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Blank,1404-01-08 fire 2760(1481-1660).csv,oes 4ac,1404/01/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CRM-BLANK-FIRE,1404-01-08 fire 2760(1481-1660).csv,oes 4ac,1404/01/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126973,0.0126973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CRM-BLANK-FIRE,1404-01-08 fire 2760(1481-1660).csv,oes 4ac,1404/01/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CRM-BLANK-FIRE new,1404-01-08 fire 2760(1481-1660).csv,oes 4ac,1404/01/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0334228,0.0334228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CRM-BLANK-FIRE new,1404-01-08 fire 2760(1481-1660).csv,oes 4ac,1404/01/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Blank,1404-01-09 MELLI (SER-155)(SER-153)(SER-158) DAU(241-300)  2827  2826  2781.csv,oes 4ac,1404/01/09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CRM-BLANK Z,1404-01-09 MELLI (SER-155)(SER-153)(SER-158) DAU(241-300)  2827  2826  2781.csv,oes 4ac,1404/01/09,-3.23463,-0.837465,125.559,-17.5963,24.8763,42.0345,-13.5104,-14.1553,-5.64628,26.3415,121.643,79.5513,-87.2005,-14.9677,-15.5115,-3.78596,-4.9642,7.03435,9.30549,-5.39962,-8.29167,-5.91203,-2.3715,-1.52936,-2.59259,-1.8392,-524.516,-21.9051,6.60055,12.9703,-61.8155,241.985,-8.26331,1651.46,7.60256,4.20851,51.7822,2.86951,-2224.8,-10.0174,-9.17094,-0.10026,-4.60411,23.3552,25.2984,2289.94,-270.11,-57.0545,-5.95599,-2.87534,4.37604,-65.0012,1.49063,-9.10813,-68.6278,116.115,-3.60872,-2.27378,4.57671,-0.0793134,10.7136,-11.32,-0.35725,3.7829,-1.39969,35.6233,-8.40685,-20.7174,-19.3703,24.1547,33.0165,13.8866,-6.59161,-5.69664,-0.13539,0.44825,0.351664,0.347134,0.357297,0.551381,-0.266921,-0.693092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BLANK R,1404-01-09 MELLI (SER-155)(SER-153)(SER-158) DAU(241-300)  2827  2826  2781.csv,oes 4ac,1404/01/09,0.373083,13.9802,912.341,745.914,42.6304,64.771,21.0595,20.2778,5.66295,5.59835,112.243,117.104,312.059,290.558,293.541,-3.54488,-5.25303,7.51346,7.94284,-4.27282,-5.00366,-2.89872,7.10715,8.72815,34.048,35.7302,55.2471,520.436,7.06785,5.69381,-0.80828,24.6325,318.012,344.766,4.42259,4.39065,52.804,-1.86005,-2009.98,139.989,133.524,11.2269,7.20198,29.2394,31.4094,2025.24,337.327,512.349,-3.36983,5.96928,11.1567,-127.799,73.2597,124.61,328.67,330.242,-12.0028,10.631,0.018915,0.278457,-5.46249,0.564158,3.81765,7.98038,-3.21466,9.72013,14.7432,45.6751,45.6931,-11.4885,24.8375,3.04986,5.47372,-6.94169,0.720059,0.811938,0.470429,0.432537,0.37478,0.507776,7.86586,6.44836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BLANK PARTSHIAL,1404-01-09 MELLI (SER-155)(SER-153)(SER-158) DAU(241-300)  2827  2826  2781.csv,oes 4ac,1404/01/09,10.679,7.06858,216.992,147.547,11.1762,12.0395,6.73197,6.87996,-0.965949,-0.997616,57.8131,45.6162,120.962,110.234,110.556,-1.59145,-1.77262,3.39613,2.6271,-1.88565,-2.6986,-1.55277,1.51659,2.07178,-0.215146,0.333303,-132.064,63.9799,5.62643,-1.2268,6.90847,-16.6971,3.67306,-337.361,1.84239,1.99359,21.4778,-1.77065,-858.271,17.179,17.535,0.85198,-0.79345,15.6071,16.1819,417.149,319.584,367.08,-1.26473,0.99224,9.15628,-114.804,23.4404,20.708,203.204,195.091,-5.27669,-2.39243,-0.650647,-0.00143254,0.134709,1.75358,0.769036,2.40224,-0.199178,1.91591,2.66276,2.3123,6.25917,8.69951,-2.87481,7.60212,-0.327307,-1.58783,0.781,0.126286,0.15455,0.189542,0.131056,0.171735,3.25364,3.47377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
